episode,step,action,reward,total_reward
0,1,10,-1.0,-1.0
0,2,10,-1.0,-2.0
0,3,10,-1.0,-3.0
0,4,10,-1.0,-4.0
0,5,10,-1.0,-5.0
0,6,10,-1.0,-6.0
0,7,10,-1.0,-7.0
0,8,10,-1.0,-8.0
0,9,10,-1.0,-9.0
0,10,10,-1.0,-10.0
0,11,10,-1.0,-11.0
0,12,10,-1.0,-12.0
0,13,10,-1.0,-13.0
0,14,10,-1.0,-14.0
0,15,10,-1.0,-15.0
0,16,10,-1.0,-16.0
0,17,10,-1.0,-17.0
0,18,10,-1.0,-18.0
0,19,10,-1.0,-19.0
0,20,10,-1.0,-20.0
0,21,10,-1.0,-21.0
0,22,10,-1.0,-22.0
0,23,8,-1.0,-23.0
0,24,8,-1.0,-24.0
0,25,8,-1.0,-25.0
0,26,8,-1.0,-26.0
0,27,8,-1.0,-27.0
0,28,8,-1.0,-28.0
0,29,8,-1.0,-29.0
0,30,8,-1.0,-30.0
0,31,8,-1.0,-31.0
0,32,10,-1.0,-32.0
0,33,10,-1.0,-33.0
0,34,10,-1.0,-34.0
0,35,10,-1.0,-35.0
0,36,10,-1.0,-36.0
0,37,10,-1.0,-37.0
0,38,10,-1.0,-38.0
0,39,10,-1.0,-39.0
0,40,10,-1.0,-40.0
0,41,10,-1.0,-41.0
0,42,10,-1.0,-42.0
0,43,10,-1.0,-43.0
0,44,10,-1.0,-44.0
0,45,10,-1.0,-45.0
0,46,10,-1.0,-46.0
0,47,10,-1.0,-47.0
0,48,10,-1.0,-48.0
0,49,10,-1.0,-49.0
0,50,10,-1.0,-50.0
0,51,10,-1.0,-51.0
0,52,10,-1.0,-52.0
0,53,10,-1.0,-53.0
0,54,10,-1.0,-54.0
0,55,10,-1.0,-55.0
0,56,10,-1.0,-56.0
0,57,10,-1.0,-57.0
0,58,10,-1.0,-58.0
0,59,10,-1.0,-59.0
0,60,10,-1.0,-60.0
0,61,10,-1.0,-61.0
0,62,10,-1.0,-62.0
1,1,10,-1.0,-1.0
1,2,10,-1.0,-2.0
1,3,10,-1.0,-3.0
1,4,10,-1.0,-4.0
1,5,10,-1.0,-5.0
1,6,10,-1.0,-6.0
1,7,10,-1.0,-7.0
1,8,10,-1.0,-8.0
1,9,10,-1.0,-9.0
1,10,10,-1.0,-10.0
1,11,10,-1.0,-11.0
1,12,10,-1.0,-12.0
1,13,10,-1.0,-13.0
1,14,10,-1.0,-14.0
1,15,10,-1.0,-15.0
1,16,10,-1.0,-16.0
1,17,10,-1.0,-17.0
1,18,10,-1.0,-18.0
1,19,10,-1.0,-19.0
1,20,10,-1.0,-20.0
1,21,10,-1.0,-21.0
1,22,10,-1.0,-22.0
1,23,8,-1.0,-23.0
1,24,8,-1.0,-24.0
1,25,8,-1.0,-25.0
1,26,8,-1.0,-26.0
1,27,8,-1.0,-27.0
1,28,8,-1.0,-28.0
1,29,8,-1.0,-29.0
1,30,8,-1.0,-30.0
1,31,8,-1.0,-31.0
1,32,10,-1.0,-32.0
1,33,10,-1.0,-33.0
1,34,10,-1.0,-34.0
1,35,10,-1.0,-35.0
1,36,10,-1.0,-36.0
1,37,10,-1.0,-37.0
1,38,10,-1.0,-38.0
1,39,10,-1.0,-39.0
1,40,10,-1.0,-40.0
1,41,10,-1.0,-41.0
1,42,10,-1.0,-42.0
1,43,10,-1.0,-43.0
1,44,10,-1.0,-44.0
1,45,10,-1.0,-45.0
1,46,10,-1.0,-46.0
1,47,10,-1.0,-47.0
1,48,10,-1.0,-48.0
1,49,10,-1.0,-49.0
1,50,10,-1.0,-50.0
1,51,10,-1.0,-51.0
1,52,10,-1.0,-52.0
1,53,10,-1.0,-53.0
1,54,10,-1.0,-54.0
1,55,10,-1.0,-55.0
1,56,10,-1.0,-56.0
1,57,10,-1.0,-57.0
1,58,10,-1.0,-58.0
1,59,10,-1.0,-59.0
1,60,10,-1.0,-60.0
1,61,10,-1.0,-61.0
1,62,10,-1.0,-62.0
2,1,10,-1.0,-1.0
2,2,10,-1.0,-2.0
2,3,10,-1.0,-3.0
2,4,10,-1.0,-4.0
2,5,10,-1.0,-5.0
2,6,10,-1.0,-6.0
2,7,10,-1.0,-7.0
2,8,10,-1.0,-8.0
2,9,10,-1.0,-9.0
2,10,10,-1.0,-10.0
2,11,10,-1.0,-11.0
2,12,10,-1.0,-12.0
2,13,10,-1.0,-13.0
2,14,10,-1.0,-14.0
2,15,10,-1.0,-15.0
2,16,10,-1.0,-16.0
2,17,10,-1.0,-17.0
2,18,10,-1.0,-18.0
2,19,10,-1.0,-19.0
2,20,10,-1.0,-20.0
2,21,10,-1.0,-21.0
2,22,10,-1.0,-22.0
2,23,8,-1.0,-23.0
2,24,8,-1.0,-24.0
2,25,8,-1.0,-25.0
2,26,8,-1.0,-26.0
2,27,8,-1.0,-27.0
2,28,8,-1.0,-28.0
2,29,8,-1.0,-29.0
2,30,8,-1.0,-30.0
2,31,8,-1.0,-31.0
2,32,10,-1.0,-32.0
2,33,10,-1.0,-33.0
2,34,10,-1.0,-34.0
2,35,10,-1.0,-35.0
2,36,10,-1.0,-36.0
2,37,10,-1.0,-37.0
2,38,10,-1.0,-38.0
2,39,10,-1.0,-39.0
2,40,10,-1.0,-40.0
2,41,10,-1.0,-41.0
2,42,10,-1.0,-42.0
2,43,10,-1.0,-43.0
2,44,10,-1.0,-44.0
2,45,10,-1.0,-45.0
2,46,10,-1.0,-46.0
2,47,10,-1.0,-47.0
